Title,Price (INR),Source,Link
Nothing 45W Power Adapter,"₹1,999",Flipkart,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:4841065317511404594,headlineOfferDocid:13147817596862235202,imageDocid:6357600470593775628,rds:PC_5056529739644045281|PROD_PC_5056529739644045281,gpcid:5056529739644045281,mid:576462460145364139,pvt:hg&hl=en&gl=in&udm=28"
Nothing 45W USB-C Charger - Powerful and Compact Fast Charging for Your Devices,"₹2,099",Instamart,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12341432708140109303,headlineOfferDocid:12341432708140109303,imageDocid:17029854897815051670,pvt:hg&hl=en&gl=in&udm=28"
"45W Fast Charger for Nothing Phone 3A/2A/2/1, CMF Phone 1 Nothing 2a Plus/Phon 2A/Phone 2/CMF, Nothing 3A Charger 1/Buds/Ear Stick| Original 45 W",₹659,Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:11267253004819551569,headlineOfferDocid:11267253004819551569,imageDocid:11381097059450553161,pvt:hg&hl=en&gl=in&udm=28"
Sounce 45W PD 3.0 & PPS Fast Charging Charger,₹799,Zepto,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:7956471269788301380,headlineOfferDocid:10679123938433126914,imageDocid:8954731113095973909,gpcid:3200990183620181605,mid:576462835224906600,pvt:hg&hl=en&gl=in&udm=28"
"Nothing Original 45W Rapid Fast Type C Mobile Phone Charger Adapter Compatible with CMF by Nothing Phone 2a, Phone 2, Phone 1, [PD PPS Technology]",₹599,Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:2677679689946210568,headlineOfferDocid:2677679689946210568,imageDocid:13022802815115198990,pvt:hg&hl=en&gl=in&udm=28"
"Ailkin Nothing Type C Adapter (45W, White) - 1 unit",₹649,Blinkit,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:5893252691187368344,headlineOfferDocid:5893252691187368344,imageDocid:12488238113288030146,pvt:hg&hl=en&gl=in&udm=28"
Cmf by Nothing Original 45W Fast Charger Adapter for Cmf Phone,₹749,93mobiles,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17384321080455654572,headlineOfferDocid:17384321080455654572,imageDocid:16307786179434868984,pvt:hg&hl=en&gl=in&udm=28"
Tart Nothing Phone 45W Original Type C Superfast Power Charger Adapter,₹599,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17585725656875933941,headlineOfferDocid:17585725656875933941,imageDocid:881165217216955157,pvt:hg&hl=en&gl=in&udm=28"
Power (45W),"₹1,299",Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:15434991210665833664,headlineOfferDocid:15032162240211568812,imageDocid:1141651026074277717,rds:PC_12969379089463584486|PROD_PC_12969379089463584486,gpcid:12969379089463584486,mid:576462793874534817,pvt:hg&hl=en&gl=in&udm=28"
Cmf by Nothing 45W Charger with Type C Port for Cmf Phone 1,₹749,93mobiles,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12963258471010330947,headlineOfferDocid:12963258471010330947,imageDocid:7449434271936869601,pvt:hg&hl=en&gl=in&udm=28"
